run_id,block_id,stim_type,trial_id,stim,cond,cresp
3,3,word,9,35,lure,diff
3,3,word,10,36,diff,diff
3,4,word,1,37,filler,none
3,4,word,2,38,filler,none
3,4,word,3,37,same,same
3,4,word,4,34,diff,diff
3,4,word,5,38,lure,diff
3,4,word,6,40,diff,diff
3,4,word,7,39,diff,diff
3,4,word,8,40,same,same
3,4,word,9,39,same,same
3,4,word,10,36,diff,diff
3,5,place,1,41,filler,none
3,5,place,2,42,filler,none
3,5,place,3,42,lure,diff
3,5,place,4,41,lure,diff
3,5,place,5,43,diff,diff
3,5,place,6,44,diff,diff
3,5,place,7,43,same,same
3,5,place,8,44,same,same
3,5,place,9,45,diff,diff
3,5,place,10,45,lure,diff
3,6,object,1,11,filler,none
3,6,object,2,12,filler,none
3,6,object,3,13,diff,diff
3,6,object,4,13,lure,diff
3,6,object,5,12,lure,diff
3,6,object,6,14,diff,diff
3,6,object,7,15,diff,diff
3,6,object,8,16,diff,diff
3,6,object,9,15,same,same
3,6,object,10,16,same,same
3,7,object,1,20,filler,none
3,7,object,2,18,filler,none
3,7,object,3,20,same,same
3,7,object,4,18,same,same
3,7,object,5,14,diff,diff
3,7,object,6,17,diff,diff
3,7,object,7,11,diff,diff
3,7,object,8,19,diff,diff
3,7,object,9,17,lure,diff
3,7,object,10,19,same,same
3,8,face,1,1,filler,none
3,8,face,2,2,filler,none
3,8,face,3,1,same,same
3,8,face,4,3,diff,diff
3,8,face,5,3,lure,diff
3,8,face,6,4,diff,diff
3,8,face,7,5,diff,diff
3,8,face,8,4,same,same
3,8,face,9,6,diff,diff
3,8,face,10,5,lure,diff
3,9,face,1,2,filler,none
3,9,face,2,6,filler,none
3,9,face,3,7,diff,diff
3,9,face,4,8,diff,diff
3,9,face,5,7,same,same
3,9,face,6,8,same,same
3,9,face,7,9,diff,diff
3,9,face,8,9,lure,diff
3,9,face,9,10,diff,diff
3,9,face,10,10,lure,diff
3,10,word,1,41,filler,none
3,10,word,2,42,filler,none
3,10,word,3,42,lure,diff
3,10,word,4,41,lure,diff
3,10,word,5,43,diff,diff
3,10,word,6,44,diff,diff
3,10,word,7,43,same,same
3,10,word,8,45,diff,diff
3,10,word,9,44,lure,diff
3,10,word,10,45,same,same
3,11,place,1,1,filler,none
3,11,place,2,2,filler,none
3,11,place,3,3,diff,diff
3,11,place,4,1,lure,diff
3,11,place,5,3,same,same
3,11,place,6,4,diff,diff
3,11,place,7,5,diff,diff
3,11,place,8,4,same,same
3,11,place,9,6,diff,diff
3,11,place,10,5,lure,diff
3,12,place,1,6,filler,none
3,12,place,2,7,filler,none
3,12,place,3,7,lure,diff
3,12,place,4,8,diff,diff
3,12,place,5,9,diff,diff
3,12,place,6,8,same,same
3,12,place,7,9,same,same
3,12,place,8,2,diff,diff
3,12,place,9,10,diff,diff
3,12,place,10,10,lure,diff
